id,x,y,time_enter,time_exit,num_facility_visited,num_check_in
443711,-0.793,1.353,30349,80447,34,20
1397469,-0.789,1.568,30366,81867,37,46
845597,-0.778,1.518,31431,80217,37,40
1744199,-0.703,1.909,31043,80466,30,51
733140,-0.694,1.839,29590,77947,36,47
345382,-0.698,2.147,30830,81119,31,43
116009,-0.711,2.11,30482,77653,36,49
794083,-0.835,-1.894,29223,82464,40,10
1812068,-0.785,-1.772,32055,80690,44,45
835640,-0.819,-1.557,29310,78485,35,17
424481,-0.804,-1.36,31615,80090,39,13
571588,-0.814,-1.085,31717,82493,44,17
806422,-0.842,-1.035,31312,82331,35,13
1950138,-0.813,-0.955,31533,82266,42,14
1817444,-0.783,-0.825,31794,81478,42,20
886397,-0.801,-0.716,30798,80751,44,20
966656,-0.776,-0.722,30326,79868,44,15
1685011,-0.739,-0.551,29131,81120,44,21
934074,-0.807,-0.522,31429,81625,43,21
865019,-0.783,-0.482,30485,80302,38,15
714076,-0.783,-0.368,29927,78566,42,21
96972,-0.79,-0.308,29163,78192,42,23
1663413,-0.75,-0.119,32253,80282,38,17
1594971,-0.768,0.063,31621,81553,43,23
473425,-0.738,0.14,29084,82071,38,13
1991646,-0.774,0.267,29197,80044,44,40
89618,-0.714,0.384,32348,81093,39,17
757419,-0.703,0.405,30140,80263,37,35
923760,-0.754,0.484,31043,80348,35,38
1652892,-0.709,0.49,31682,76979,34,44
268856,-0.709,0.628,30453,78207,38,40
1344899,-0.731,0.83,32070,80286,37,43
265730,-0.658,1.027,29483,80279,38,45
689330,-0.684,1.276,30714,80570,37,37
131876,-0.694,1.832,29590,77946,37,47
1508923,-0.69,1.836,29590,77946,37,47
714084,-0.643,2.212,31315,78188,33,49
1199860,-0.637,2.215,31315,78187,33,49
702236,-0.799,-2.233,31925,81033,42,14
450819,-0.783,-1.762,32055,80690,44,45
1000708,-0.808,-1.752,29870,81217,40,13
423861,-0.707,-1.595,31363,81529,44,20
193689,-0.778,-1.543,31429,81486,40,24
1880304,-0.726,-1.174,29613,81862,43,23
1554601,-0.726,-1.166,29613,81863,45,23
1402234,-0.724,-1.017,28945,80238,34,9
74613,-0.735,-1.081,29590,77780,40,36
97456,-0.677,-0.879,32207,80416,42,23
1250700,-0.699,-0.744,29590,77946,44,37
845135,-0.685,-0.558,29261,80384,44,18
1971223,-0.661,-0.524,29168,78301,43,36
272624,-0.674,-0.389,32014,81752,37,20
612084,-0.673,-0.258,31268,81124,37,18
1539142,-0.652,-0.281,30576,77896,41,24
193629,-0.679,-0.039,30775,81918,39,39
810887,-0.698,0.059,30113,81419,42,23
1666428,-0.649,-0.046,29004,77710,43,19
1878167,-0.68,0.188,32238,81779,43,11
218084,-0.637,0.247,29209,80530,37,22
928330,-0.655,0.368,30018,81252,44,18
880807,-0.677,0.426,29197,79573,35,37
1511397,-0.654,0.4,29383,78219,43,15
521692,-0.64,0.499,30023,78415,37,16
1557125,-0.609,0.621,29351,77428,37,23
1648997,-0.638,1.024,32035,81050,43,21
1401128,-0.608,1.025,30515,80325,38,50
575701,-0.566,1.204,31520,81036,44,17
1053224,-0.635,1.183,28859,77997,39,33
918404,-0.557,1.824,29197,77597,32,38
1075706,-0.755,-2.33,31684,80939,41,12
1863696,-0.746,-2.187,31892,79855,38,20
1924604,-0.687,-1.909,31238,79696,41,17
1088678,-0.655,-1.634,29087,79847,49,22
1459714,-0.705,-1.633,31593,77954,43,27
1165425,-0.698,-1.624,31593,77954,43,27
242021,-0.63,-1.35,29751,80493,41,30
81292,-0.629,-1.1,30197,80655,44,23
239338,-0.639,-1.08,31429,81688,45,11
1354188,-0.658,-0.93,32005,81027,34,15
1083305,-0.665,-0.893,32207,80382,40,23
531338,-0.62,-0.833,29576,76463,44,27
1030897,-0.621,-0.754,30765,78471,27,8
675612,-0.61,-0.64,29476,78476,44,16
168062,-0.622,-0.566,31230,78518,38,21
67102,-0.579,-0.362,31247,78149,33,13
925094,-0.643,-0.277,30576,77895,42,24
1045234,-0.576,-0.12,30292,81130,41,19
855830,-0.575,-0.106,29294,77039,45,20
813863,-0.614,0.051,29818,80684,38,37
156751,-0.622,0.077,29819,79865,37,23
974088,-0.583,0.111,30653,77352,41,30
71472,-0.611,0.36,31046,80840,36,14
1797310,-0.574,0.456,31429,81666,48,27
557816,-0.548,0.392,31642,77267,35,14
1917639,-0.581,0.557,30318,78155,34,20
221400,-0.57,0.651,32067,80467,47,18
755822,-0.568,0.699,31600,77600,34,35
539386,-0.583,0.857,29927,78389,37,27
186115,-0.526,0.949,30957,77323,31,19
1813262,-0.534,1.156,29197,79960,41,31
391338,-0.544,1.256,29363,78157,48,34
848800,-0.487,1.466,29808,77746,39,50
1554678,-0.538,1.542,31593,78425,38,34
561890,-0.491,1.801,29363,78063,39,49
331408,-0.529,1.876,31342,77921,34,31
1536714,-0.627,-2.05,30916,78135,41,22
47327,-0.594,-1.849,31849,76457,38,27
43833,-0.572,-1.69,28951,80082,45,15
662174,-0.566,-1.424,30076,80620,40,14
117066,-0.608,-1.405,28925,78614,36,15
993663,-0.611,-1.289,31537,78053,45,25
1196253,-0.574,-1.181,30640,80119,46,23
993678,-0.573,-1.067,31604,78375,39,23
2094648,-0.573,-0.859,29197,79422,46,29
1155666,-0.556,-0.847,30654,78060,42,39
350693,-0.541,-0.784,29581,77172,42,24
1820773,-0.541,-0.522,32123,78545,38,17
1748282,-0.517,-0.479,30565,78142,39,16
1323723,-0.544,-0.338,31569,79894,36,41
464613,-0.563,-0.225,31091,80848,46,28
266280,-0.548,-0.223,31247,78342,44,22
1688081,-0.505,0.109,29518,80796,39,20
1287048,-0.527,0.104,30423,77752,42,17
527693,-0.536,0.325,31420,81467,39,26
742578,-0.483,0.197,30855,77005,41,25
1517572,-0.486,0.368,30482,77369,45,22
1649682,-0.48,0.442,29395,77601,39,15
1250158,-0.498,0.572,31500,78138,36,17
1732683,-0.473,0.699,32126,80136,50,20
1019356,-0.47,0.719,31170,78587,37,18
669571,-0.465,1.123,29183,80291,43,18
248036,-0.478,1.067,30747,78144,35,24
1362332,-0.412,1.29,32184,80297,43,23
415491,-0.439,1.342,30679,77536,34,1
1181215,-0.483,1.482,29590,77639,38,46
484248,-0.441,1.745,29590,77920,37,43
1607917,-0.405,1.938,29163,78106,35,37
1820085,-0.451,2.06,30027,77631,31,48
1237943,-0.533,-2.201,29576,76198,44,29
291511,-0.529,-1.636,28951,80083,44,15
923529,-0.524,-1.336,32207,80351,43,22
1873306,-0.48,-1.141,29575,78002,43,20
1156947,-0.511,-0.945,32282,80927,45,13
1938259,-0.496,-0.682,29564,80432,37,11
1456293,-0.465,-0.649,30814,80267,37,16
1349798,-0.498,-0.603,31975,77695,32,15
1016895,-0.458,-0.615,31590,76673,44,28
1001533,-0.514,-0.476,30565,78142,40,16
1465836,-0.479,-0.386,30087,77840,37,16
200828,-0.448,-0.013,32018,82079,42,9
1687201,-0.45,-0.12,30236,76455,36,32
1432249,-0.406,0.059,29495,79985,41,22
574013,-0.419,0.186,30683,77587,41,38
1971852,-0.386,0.36,31600,77362,46,32
1617284,-0.437,0.424,29942,77344,42,36
1268786,-0.411,0.684,29210,78188,39,18
386611,-0.371,0.694,30035,76915,39,15
1079812,-0.412,0.95,31784,77007,39,21
128920,-0.361,1.077,29516,76948,32,30
901652,-0.348,1.276,31875,80355,42,21
1794634,-0.382,1.254,29942,77331,36,47
2052043,-0.385,1.487,31593,78285,35,42
186726,-0.391,1.562,30453,77594,36,45
557544,-0.327,1.724,31247,78527,37,24
1562625,-0.324,1.728,31247,78527,37,24
1906057,-0.328,1.87,31194,78225,31,41
710414,-0.361,1.882,30422,77241,37,40
132781,-0.459,-1.886,30861,77427,35,19
1157004,-0.445,-1.624,31429,81487,41,27
1198534,-0.469,-1.62,31600,77309,40,31
1424087,-0.466,-1.609,31600,77310,39,31
1939292,-0.454,-1.507,30652,76380,35,23
927280,-0.438,-1.419,29648,77090,44,32
870188,-0.437,-1.21,32053,77842,44,21
935776,-0.436,-1.125,31593,78377,46,20
1229412,-0.406,-0.981,28859,77857,42,21
1931591,-0.429,-1.001,31473,76335,36,28
935954,-0.411,-0.823,31683,77364,38,22
684239,-0.397,-0.763,30324,76376,36,15
1649471,-0.413,-0.606,29197,77277,48,27
1523933,-0.411,-0.582,29182,77418,44,27
1903939,-0.367,-0.469,32041,78642,41,12
733475,-0.398,-0.383,29590,78038,42,26
1162853,-0.377,-0.275,31301,78307,46,18
143415,-0.392,-0.11,31593,78219,34,25
1212680,-0.398,-0.06,31279,80045,37,19
1434060,-0.319,0.067,31381,77665,42,26
1281941,-0.368,0.339,31279,79814,39,20
872243,-0.311,0.266,30136,78326,40,35
973383,-0.324,0.353,30506,77349,45,17
317411,-0.305,0.436,32272,76733,35,8
1088488,-0.31,0.562,30587,76255,40,28
1061215,-0.335,0.714,31253,78039,43,42
1362210,-0.333,0.799,29775,77367,41,22
2079527,-0.343,1.121,30995,81955,34,12
1998550,-0.322,1.101,30432,76912,34,40
1932219,-0.284,1.362,29876,78533,35,15
1106999,-0.251,1.666,29043,76440,39,23
1584300,-0.358,-2.102,30497,76655,45,25
444008,-0.399,-1.543,31975,78369,40,21
1011112,-0.378,-1.391,29504,77286,39,22
558149,-0.395,-1.28,32329,78121,36,17
7339,-0.373,-1.139,29485,77129,43,40
1217734,-0.332,-0.966,29800,77925,37,17
1690345,-0.362,-0.925,30688,75105,44,23
1345871,-0.285,-0.803,31600,77299,41,39
160360,-0.3,-0.708,28853,76566,42,10
1495984,-0.34,-0.651,28895,77595,46,19
211950,-0.31,-0.592,29576,76027,45,27
1175115,-0.345,-0.453,31858,77515,40,11
1613963,-0.271,-0.427,31504,74054,39,31
843401,-0.272,-0.29,29576,76056,40,19
1379300,-0.314,-0.247,30447,77762,33,6
546233,-0.26,-0.096,29624,76462,38,41
1994529,-0.294,0.078,29850,80610,37,12
515271,-0.25,0.016,28870,74349,41,20
1275173,-0.304,0.125,30432,76904,36,41
1369183,-0.265,0.316,31517,76830,41,22
660200,-0.261,0.326,31517,76830,41,21
885299,-0.24,0.464,30918,76983,40,23
1993152,-0.242,0.61,30991,76540,40,19
1089957,-0.282,0.728,30912,78135,34,38
1106029,-0.253,0.814,31479,74620,39,25
1938066,-0.207,1.113,32174,80375,38,34
1365563,-0.218,1.288,30453,77565,34,35
1983765,-0.211,1.281,34126,73265,24,16
1202957,-0.19,1.641,31338,74202,37,43
216900,-0.277,-2.133,30440,77207,38,19
1614473,-0.325,-1.909,31431,80239,38,9
2096121,-0.323,-1.931,28890,77355,38,14
1190398,-0.27,-1.715,30016,77540,40,17
1207988,-0.254,-1.221,32090,76759,45,18
2044881,-0.259,-1.05,31814,76371,44,15
1382429,-0.259,-0.94,28996,76357,44,17
1009525,-0.272,-0.796,32247,77626,43,28
1375289,-0.22,-0.758,31247,78493,43,26
969451,-0.262,-0.585,30912,78173,42,14
1689451,-0.229,-0.602,29621,74630,42,16
1710455,-0.23,-0.403,29587,76552,37,15
87264,-0.206,-0.311,30993,76986,40,16
45840,-0.205,-0.208,29470,73656,45,34
396049,-0.185,-0.081,29789,74149,43,23
62641,-0.238,0.075,29576,76057,43,22
1463578,-0.22,0.3,30422,76998,39,21
431280,-0.156,0.318,30900,76190,39,41
136570,-0.232,0.436,31849,76544,37,18
737782,-0.198,0.524,31176,76890,34,32
1626169,-0.211,0.694,30900,76301,34,35
72120,-0.186,0.745,30904,74497,44,35
1430968,-0.156,0.824,29187,74174,35,20
193473,-0.178,0.983,29202,74196,38,26
133312,-0.133,1.179,31230,76371,31,14
560114,-0.111,1.219,30489,74491,36,35
1769864,-0.149,1.415,29784,76724,35,14
231065,-0.107,1.496,30842,73314,37,30
1224245,-0.105,1.727,31593,77870,35,25
525850,-0.199,-1.849,28981,74585,47,22
2016064,-0.234,-1.719,30987,72468,35,24
492765,-0.209,-1.445,30892,79847,33,16
365191,-0.227,-1.264,31183,77780,39,20
862889,-0.185,-1.083,30079,76245,36,16
1213994,-0.224,-0.961,30342,77065,41,19
1392457,-0.167,-1.027,29344,72703,34,16
1364982,-0.187,-0.781,31226,74706,31,13
949863,-0.136,-0.653,32009,76537,38,17
1611141,-0.196,-0.609,28878,73477,40,25
1477256,-0.191,-0.59,28878,73476,39,25
1562922,-0.112,-0.351,31228,77370,41,17
1784467,-0.135,-0.194,29167,77353,48,18
1980233,-0.149,-0.152,30377,77442,47,20
15712,-0.108,-0.007,29060,77547,45,23
1431963,-0.109,0.099,29912,74841,40,20
1346459,-0.142,0.29,29293,77407,42,13
324556,-0.11,0.292,29932,72759,37,37
1297787,-0.089,0.346,30522,72899,34,26
983693,-0.107,0.576,30653,77344,36,35
405929,-0.136,0.559,30904,74434,36,25
1098136,-0.079,0.726,30587,76594,37,17
1416498,-0.125,0.73,30855,74322,39,41
1532160,-0.056,0.934,30343,73269,34,35
1132076,-0.109,1.073,29308,74729,35,34
1941845,-0.055,1.253,29202,76413,37,15
1248154,-0.051,1.22,31501,73723,35,31
2038662,-0.025,1.518,29752,76181,31,12
1751670,-0.026,1.429,29976,73882,29,38
277274,-0.062,1.965,31600,77721,32,26
1269504,-0.162,-1.874,29527,74312,37,18
1278658,-0.19,-1.69,31530,76558,40,19
997940,-0.127,-1.473,53533,83925,34,22
94906,-0.077,-1.026,30678,73740,45,25
1062421,-0.089,-0.966,32379,74155,44,17
598893,-0.092,-0.931,32261,74164,47,26
566677,-0.086,-0.775,31733,74011,32,15
1007980,-0.065,-0.672,31848,74202,38,17
10089,-0.09,-0.638,29495,73200,41,22
2038469,-0.056,-0.478,29492,74420,40,20
1490672,-0.087,-0.32,31593,77955,41,22
950716,-0.058,-0.397,30434,73698,40,21
1051684,-0.104,-0.238,29984,74754,38,17
69324,-0.081,-0.053,30830,74035,36,21
168448,-0.051,0.023,29965,73464,44,22
159418,-0.021,0.158,32204,74683,42,16
1613678,-0.057,0.345,31259,77579,44,13
432283,-0.083,0.243,29264,73633,38,29
1945506,0,0.531,31662,76269,43,22
575073,0.022,0.714,31978,77196,35,10
2059961,-0.033,0.639,30567,73040,36,43
1035709,-0.047,0.894,31682,77197,35,23
892885,-0.05,0.897,31682,77197,35,23
651950,-0.044,0.945,31449,74540,35,36
1781105,-0.014,0.995,29984,74509,35,34
1177549,-0.018,1.134,30930,74733,35,39
863916,0.019,1.325,32257,77017,41,21
1475524,0.029,1.332,31338,74026,37,40
100174,0.001,1.387,30842,73398,37,27
414676,0.04,1.468,31479,74283,38,37
1767836,0.072,1.79,30567,73499,35,41
918738,0.094,2.485,29467,73114,29,26
1451935,-0.065,-2.41,30535,75127,42,19
1001032,-0.072,-1.882,30930,73363,42,20
887962,-0.089,-1.776,29838,74547,39,38
443367,-0.098,-1.704,30115,72513,34,19
1755554,-0.092,-1.697,30115,72513,36,19
196239,-0.053,-1.591,29176,73023,43,30
861673,-0.015,-1.119,29596,73549,44,18
1630278,-0.036,-1.039,31231,73610,41,16
304161,0,-0.983,30884,72565,43,26
1739976,0.001,-0.777,31873,76983,41,15
1624321,-0.053,-0.549,30904,74373,37,21
476784,0.005,-0.565,32139,73620,38,14
1339498,-0.043,-0.466,30820,74624,37,15
1233488,0.037,-0.264,29048,72579,39,22
120607,0.049,-0.113,30930,74724,37,21
736263,-0.009,-0.047,31100,75281,39,28
1337261,0.004,0.027,30855,74137,42,34
1491271,0.03,0.176,29319,73750,38,15
1760129,0.054,0.254,29428,73500,44,15
1165018,0.074,0.368,30992,74720,44,21
189481,0.003,0.529,31662,76269,44,22
468827,0.073,0.491,31176,73024,45,17
992174,0.023,0.714,31978,77196,33,10
650064,0.097,0.725,30628,72908,36,29
725559,0.101,0.983,31449,74485,34,36
1764153,0.057,1.012,31462,72868,33,32
1242773,0.051,1.233,29636,76312,40,10
419467,0.065,1.223,31384,74793,33,23
352434,0.059,1.441,31338,74175,31,40
2011396,0.123,1.81,30855,74365,41,38
1025781,0.125,2.082,30621,72738,34,40
740577,-0.062,-2.402,30535,75127,42,19
1117855,0.002,-1.496,52619,83441,41,25
1236917,0.071,-1.449,32228,75119,33,15
1687776,0.04,-1.216,48920,80017,37,16
248937,0.05,-1.339,29506,73661,46,17
810496,0.057,-1.172,31179,74552,37,18
673502,0.084,-0.691,30790,74388,38,15
1319731,0.079,-0.598,29304,72858,38,21
67142,0.045,-0.529,32205,74187,41,15
941235,0.049,-0.38,31696,73726,36,12
415669,0.054,-0.37,31696,73726,36,12
1937657,0.047,-0.281,29467,73203,42,23
879813,0.078,-0.173,31449,74473,37,32
123962,0.061,-0.073,29736,73834,44,24
1566766,0.114,0.047,29908,72849,40,25
974601,0.091,0.159,30904,74276,41,24
1941990,0.154,0.292,30006,73414,39,15
1019609,0.105,0.479,30668,76720,36,8
20700,0.134,0.507,31954,74023,42,19
193621,0.089,0.705,30991,76841,31,16
1274841,0.133,0.633,29716,72930,38,33
19162,0.149,0.844,29901,74962,39,15
1086857,0.162,1.004,29058,74140,43,16
1426301,0.142,1.115,29467,73324,38,30
1991592,0.168,1.207,29932,72777,46,27
1427875,0.128,1.243,29467,73328,35,34
1131984,0.146,1.474,29726,72544,39,32
459445,0.143,1.549,29734,72974,35,30
535529,0.075,-1.443,32228,75119,32,15
164603,0.134,-1.348,29495,72811,41,26
844319,0.108,-1.199,31004,74178,45,14
1885661,0.131,-1.162,31893,73938,41,25
216278,0.11,-0.862,30904,74319,41,22
584668,0.178,-0.77,30011,73796,37,18
1668820,0.089,-0.685,30790,74388,37,15
2095284,0.176,-0.585,30355,73427,36,11
1943228,0.182,-0.491,31977,73986,33,18
173232,0.159,-0.238,30233,73714,41,15
166806,0.132,-0.184,29495,72824,43,21
705542,0.172,-0.049,32142,74706,38,17
875548,0.159,0.006,29375,73530,42,18
1245603,0.219,0.197,29649,73834,42,16
10371,0.178,0.218,28985,74052,43,20
1276624,0.174,0.269,30523,72997,41,22
1657440,0.224,0.429,31487,73394,41,21
725044,0.173,0.462,30343,72901,48,25
873560,0.18,0.597,30062,72671,37,17
698208,0.204,0.782,28855,72998,34,28
340699,0.207,0.83,30771,73055,36,12
891183,0.219,1.097,29264,73820,33,17
383458,0.238,1.08,30580,72712,37,40
1912459,0.253,1.606,31160,73944,36,17
1566005,0.318,2.081,30219,72673,37,38
1727327,0.16,-1.432,47391,79941,38,16
444532,0.137,-1.346,29495,72810,43,26
1263311,0.217,-1.207,29495,73077,42,25
1209234,0.186,-1.183,30002,72443,46,36
874070,0.213,-0.781,32082,74824,42,18
305841,0.215,-0.777,32082,74824,38,18
644431,0.236,-0.696,32215,72470,36,14
1738768,0.193,-0.345,29747,72805,43,22
1718408,0.256,-0.085,30904,74517,39,16
1656259,0.249,0.126,52447,80249,43,16
169687,0.249,0.102,30925,73224,36,20
99755,0.268,0.083,31448,73798,37,10
880619,0.24,0.222,32173,74188,44,22
1192794,0.25,0.404,29467,72981,39,24
477978,0.28,0.485,30884,72779,38,20
1474864,0.301,0.631,29914,73202,50,25
1483004,0.281,0.789,28831,72738,40,20
1526716,0.313,0.848,32400,73339,34,28
1925213,0.286,0.863,30491,72335,37,25
1653780,0.3,1.062,29726,72719,36,35
531348,0.31,1.132,28819,72947,39,19
949503,0.343,1.604,30621,72559,37,35
43513,0.299,1.778,30062,72828,37,31
1997596,0.324,2.197,29593,72496,35,42
1817739,0.236,-1.369,31977,73986,48,15
739695,0.275,-1.087,29495,72756,46,22
539617,0.251,-0.949,28855,72853,45,17
562597,0.279,-0.615,29976,74085,37,15
891848,0.277,-0.544,30241,73087,38,14
2000894,0.293,-0.556,32225,73247,38,12
1823547,0.321,-0.121,50936,80283,43,14
1729573,0.317,-0.281,31380,72651,42,16
75849,0.306,-0.164,29864,73165,35,15
1965146,0.309,-0.014,31732,73226,48,20
161781,0.322,0.031,31462,72918,40,27
96504,0.306,0.171,31460,73402,40,16
1854510,0.314,0.271,31169,74311,43,23
1871836,0.335,0.355,28854,72640,39,12
1576297,0.318,0.616,30884,73037,38,36
729698,0.328,0.675,31977,73926,39,18
81689,0.34,0.783,29495,73014,41,11
241855,0.344,0.792,29495,73014,42,11
420195,0.357,0.966,31890,72756,39,22
40624,0.414,1.152,30838,73878,43,17
1367089,0.387,1.187,30884,72530,36,28
914446,0.418,1.878,30767,72870,38,21
1358982,0.369,-1.083,50036,80269,39,16
1144498,0.34,-0.756,64068,83890,36,11
1221753,0.346,-0.762,29467,73089,36,16
132087,0.392,-0.439,29295,73202,43,23
134576,0.423,-0.43,30580,72940,39,25
1297867,0.438,-0.268,31977,73819,39,19
483812,0.438,-0.265,31977,73819,40,19
1039702,0.403,-0.126,30530,72890,44,19
1675066,0.364,-0.028,29601,74117,47,29
1305659,0.431,0.085,30884,72900,34,11
1723967,0.412,0.315,34369,71241,41,16
1494544,0.439,0.483,31418,73557,42,17
437077,0.483,1.099,30621,72531,35,45
1034569,0.483,1.105,30621,72532,35,45
1246530,0.456,1.799,30884,72719,32,35
1246537,0.402,-1.113,63585,84072,34,13
1489451,0.454,-0.876,64770,83933,39,19
1280868,0.438,-0.736,63882,83628,36,12
100951,0.423,-0.805,31205,74818,41,6
2026615,0.438,-0.267,31977,73819,39,19
539907,0.44,-0.265,31977,73819,39,19
215565,0.434,-0.047,30555,72749,39,15
263633,0.475,0.386,31418,73619,40,29
1486047,0.499,0.744,32154,74848,35,10
1731552,0.502,0.833,31718,73602,38,43
467470,0.523,-1.063,62970,83650,37,14
1533712,0.565,-0.641,64457,84203,36,11
125285,0.502,-0.778,30914,72514,43,17
1156155,0.547,-0.634,29037,72756,40,14
1047819,0.494,-0.526,31539,73476,42,22
1762248,0.584,0.098,30603,72645,42,19
1121586,0.539,0.174,29131,72953,37,12
313073,0.611,1.23,58296,80940,18,2
1614660,0.565,-1.123,62210,83924,24,8
197786,0.586,-1.302,32005,73269,44,18
288050,0.743,0.106,30619,66279,35,13
1229384,0.751,0.104,30619,66280,35,13
1378617,0.756,0.115,30619,66280,35,13
657863,0.866,1.064,58296,78791,12,2
2043478,1.417,0.248,35708,62121,32,30
1401329,1.443,0.36,33921,62443,41,26
1038231,1.472,0.545,33266,61775,37,26
947419,1.577,1.329,35327,61952,39,21
1322472,1.59,0.042,32872,62420,38,21
1122884,1.534,0.136,32995,61986,40,29
1852033,1.586,0.29,34615,62321,35,27
272033,1.579,0.838,34249,62027,33,17
2016911,1.628,-0.071,34879,61007,26,11
593798,1.644,0.029,33405,61810,41,24
395694,1.649,0.477,35664,61883,29,28
554218,1.673,0.999,35540,61897,36,23
1360635,1.675,1.022,35745,62309,35,22
1685422,1.692,0.216,34525,62145,40,27
736288,1.731,0.529,34610,62229,35,26
404087,1.742,0.664,35198,61800,30,22
1520446,1.755,1.084,34808,62157,39,29
644885,1.763,-0.826,31540,62062,31,2
1288884,1.807,0.368,35635,61788,35,28
77985,1.795,0.844,34799,62032,40,28
1843798,1.884,-0.157,35863,59080,29,12
1706569,1.869,-1.018,35509,59085,32,7
1667325,1.925,-0.353,35728,61802,37,29
1321313,1.958,-0.364,34424,58875,37,15
1127216,1.888,-0.157,35863,59068,29,12
1905354,1.963,-0.354,34424,58875,36,15
867286,2.024,0.84,35047,58888,33,11
731580,2.076,-0.815,32838,58588,33,8
2085080,2.049,-0.434,32733,58364,35,17
1643625,2.117,-0.251,35761,58801,29,11
