ID,x,y,time_enter,time_exit,facility_visited,num_check_in
1358982,0.78,-1.33,50036,80269,39,16
211950,-0.14,-0.54,29576,76027,45,27
432283,0.1,0.41,29264,73633,38,29
1475524,0.17,1.59,31338,74026,37,40
357179,-0.96,3.14,31639,80516,29,38
1660730,-0.87,-1,29073,81726,34,12
2023392,-0.22,0.46,30900,76282,38,52
1237943,-0.33,-2.31,29576,76198,44,29
1365563,-0.14,1.46,30453,77565,34,35
1797310,-0.54,0.44,31429,81666,48,27
878878,4.23,-0.7,29357,48995,35,14
1919714,-0.85,-0.2,35655,83882,45,22
539386,-0.59,1.01,29927,78389,37,27
1589400,-0.82,0.27,34767,84353,48,24
1917639,-0.58,0.68,30318,78155,34,20
173490,-1.15,0.95,29060,81517,41,22
1224245,-0.04,1.94,31593,77870,35,25
1939292,-0.27,-1.56,30652,76380,35,23
739695,0.66,-1.08,29495,72756,46,22
1836075,-0.86,-0.21,35655,83882,43,22
1547150,0.59,-1.21,29495,73077,41,25
1932219,-0.24,1.49,29876,78533,35,15
1382429,-0.04,-0.96,28996,76357,44,17
2059961,0.15,0.84,30567,73040,36,43
1993152,-0.15,0.72,30991,76540,40,19
413328,-1.15,0.94,29060,81517,40,22
2044881,-0.04,-1.07,31814,76371,44,15
272624,-0.61,-0.46,32014,81752,37,20
62641,-0.09,0.15,29576,76057,43,22
15715,-0.64,0.44,29205,79952,37,16
1897980,0.11,0.41,29264,73633,36,29
663450,-0.02,-0.77,50756,84217,42,20
15712,0.08,-0.01,29060,77547,45,23
855830,-0.51,-0.04,29294,77039,45,20
324556,0.06,0.49,29932,72759,37,37
459445,0.32,1.81,29734,72974,35,30
1053453,-1.15,-1.08,30693,80261,35,23
444008,-0.19,-1.65,31975,78369,40,21
168062,-0.55,-0.56,31230,78518,38,21
714076,-0.78,-0.36,29927,78566,42,21
1859190,-0.27,-0.39,29590,78039,43,26
538702,-0.83,0.29,34767,84354,47,24
1687201,-0.36,-0.03,30236,76455,36,32
1305659,0.78,0.22,30884,72900,34,11
1088678,-0.54,-1.81,29087,79847,49,22
844319,0.45,-1.21,31004,74178,45,14
1562625,-0.3,1.9,31247,78527,37,24
123962,0.3,0.05,29736,73834,44,24
931698,-0.11,-0.23,29576,76056,38,19
265730,-0.71,1.15,29483,80279,38,45
1630278,0.24,-1.01,31231,73610,41,16
736972,-0.89,0.57,31420,81297,38,45
479433,-0.54,0.44,31429,81666,50,27
1617284,-0.36,0.53,29942,77344,42,36
89618,-0.74,0.38,32348,81093,39,17
757419,-0.72,0.47,30140,80263,37,35
1638051,0.83,0.51,31418,73618,40,29
331408,-0.59,2.13,31342,77921,34,31
1187497,-0.83,-0.01,29340,81166,44,18
1332445,-0.17,-0.55,31630,77515,41,16
1938259,-0.36,-0.81,29564,80432,37,11
871672,-1.16,-1.09,30693,80261,35,23
1229412,-0.23,-1.06,28859,77857,42,21
143415,-0.27,-0.1,31593,78219,34,25
1565051,-0.24,-0.29,31301,78308,45,18
1155936,0.06,0.51,29712,74872,36,17
1863696,-0.59,-2.37,31892,79855,38,20
129457,-0.77,0.58,28875,80397,42,37
974601,0.34,0.25,30904,74276,41,24
1652892,-0.73,0.64,31682,76979,34,44
1156947,-0.39,-1.08,32282,80927,45,13
1809394,-0.87,-0.99,29073,81725,35,12
993678,-0.46,-1.12,31604,78375,39,23
705542,0.46,0.01,32142,74706,38,17
725559,0.28,1.16,31449,74485,34,36
659383,-0.74,0.46,29765,79925,41,20
1981617,0.73,-1.34,31977,73987,49,15
1212680,-0.3,-0.07,31279,80045,37,19
2065364,-1.16,1.53,29067,81135,34,55
67102,-0.51,-0.32,31247,78149,33,13
1362332,-0.41,1.34,32184,80297,43,23
845135,-0.61,-0.61,29261,80384,44,18
1148243,0.09,0.45,30522,72898,34,26
1863437,-0.25,-0.77,30324,76376,37,15
1486047,0.86,0.76,32154,74848,35,10
2011396,0.26,2.11,30855,74365,41,38
669018,0.09,-0.64,32009,76538,38,17
173232,0.46,-0.17,30233,73714,41,15
1117855,0.32,-1.81,52619,83441,41,25
856425,-0.15,-0.51,30955,76295,38,23
1953117,-0.29,-1.51,30859,80891,39,10
385687,0.7,2.08,30884,72719,32,35
414676,0.18,1.73,31479,74283,38,37
1653780,0.55,1.27,29726,72719,36,35
1378617,1.21,0.4,30619,66280,35,13
1773176,-0.06,-0.82,30433,73871,44,34
1088488,-0.21,0.69,30587,76255,40,28
868659,-0.85,-0.2,35655,83881,44,22
1930644,-1.23,-0.58,30091,81871,44,16
1192794,0.53,0.55,29467,72981,39,24
709279,-0.2,0.55,32272,76733,34,8
521692,-0.64,0.62,30023,78415,37,16
186726,-0.38,1.78,30453,77594,36,45
72120,-0.06,0.94,30904,74497,44,35
941235,0.33,-0.31,31696,73726,36,12
1198534,-0.29,-1.7,31600,77309,40,31
1613963,-0.12,-0.32,31504,74054,39,31
595748,-0.9,1.52,30349,80447,35,20
1127216,2.7,0.15,35863,59068,29,12
1388162,0.26,-0.91,29467,72958,40,25
561890,-0.53,2.05,29363,78063,39,49
126182,-1.02,1.01,31561,80454,32,34
725044,0.41,0.65,30343,72901,48,25
729698,0.62,0.81,31977,73926,39,18
707627,-0.75,0.35,34815,83962,43,23
935776,-0.28,-1.19,31593,78377,46,20
532442,-0.77,-0.36,29927,78566,42,21
1280718,-0.39,-0.6,31975,77695,31,15
1731572,-0.59,0.35,31046,80840,36,14
405929,0.01,0.75,30904,74434,36,25
2038662,0.1,1.69,29752,76181,31,12
1336623,-0.81,-0.05,32207,80339,43,28
47327,-0.42,-1.92,31849,76457,38,27
268856,-0.75,0.76,30453,78207,38,40
291511,-0.37,-1.81,28951,80083,44,15
1931591,-0.28,-1,31473,76335,36,28
1812068,-0.7,-1.94,32055,80690,44,45
1626521,0.28,-0.99,51757,83827,26,5
573455,-0.81,-0.96,29343,80578,46,23
1994529,-0.16,0.05,29850,80610,37,12
1688081,-0.46,0.04,29518,80796,39,20
444532,0.5,-1.32,29495,72810,43,26
1910777,-0.04,-0.96,28996,76358,46,16
557816,-0.51,0.52,31642,77267,35,14
1409020,-0.81,0.4,31236,81094,31,15
1524498,-0.09,0.15,29576,76056,42,22
508018,0.39,-0.38,28889,74829,42,16
72385,-0.23,-0.29,29576,76320,43,21
925094,-0.6,-0.23,30576,77895,42,24
813636,-0.66,0.61,31593,77981,37,31
1426301,0.35,1.33,29467,73324,38,30
117066,-0.46,-1.54,28925,78614,36,15
1019356,-0.42,0.82,31170,78587,37,18
2022703,-0.89,0.69,29190,81580,45,29
1965716,4.46,0.41,31641,47637,36,22
1350073,-0.98,-0.45,29667,78467,43,20
404087,2.45,1.02,35198,61800,30,22
2088133,3.62,-0.77,35133,55175,31,11
546825,0.35,1.33,29467,73324,38,30
1736353,-0.58,0.68,30318,78154,34,20
1724998,-0.76,-0.77,30326,79868,44,15
1950138,-0.76,-1.06,31533,82266,42,14
120607,0.3,-0.06,30930,74724,37,21
493005,3.54,-1.15,35749,54857,16,9
1603013,0.39,-0.34,31663,72834,45,17
897556,0.49,-0.44,31977,73986,34,18
1188103,0.44,0.51,31836,74415,39,17
1125646,-0.28,-1.19,31593,78376,45,20
131876,-0.8,2.1,29590,77946,37,47
686826,-0.85,0.31,30197,81581,38,41
575701,-0.61,1.27,31520,81036,44,17
100174,0.14,1.66,30842,73398,37,27
1788664,2.81,1.28,35047,58887,33,11
886397,-0.77,-0.81,30798,80751,44,20
424481,-0.74,-1.46,31615,80090,39,13
1499959,-0.24,0.12,31247,78524,43,27
1758901,-0.93,-1.3,29907,81147,37,20
1392457,0.09,-0.96,29344,72703,34,16
1537249,0.61,0.77,30884,73037,39,36
534277,-0.86,-0.21,35655,83882,45,22
1093081,-0.33,1,30336,76442,35,42
1769864,-0.06,1.55,29784,76724,35,14
382365,-0.28,-0.92,29590,77873,40,39
1223224,-0.83,0.28,34767,84354,47,24
1448056,-0.96,2.79,29518,80275,41,49
862889,0.07,-1.13,30079,76245,36,16
197786,1.06,-1.36,32005,73269,44,18
2025656,-1.16,-0.16,30297,81309,39,16
1791156,-0.68,0.48,29197,79573,35,37
1218201,-1,-0.78,29127,81723,40,20
1636144,-0.87,-0.53,32081,80268,46,23
238279,-1.01,-1.16,32799,83965,46,27
1246785,0.31,0.05,29736,73833,44,24
277274,0.02,2.17,31600,77721,32,26
1354188,-0.57,-1.03,32005,81027,34,15
227533,0.2,0.08,29797,76426,43,14
1744199,-0.82,2.09,31043,80466,30,51
1613678,0.13,0.36,31259,77579,44,13
88388,-0.27,1.41,30260,77036,41,39
1210500,0.5,-0.53,30355,73428,38,11
515271,-0.1,0.16,28870,74349,41,20
81292,-0.54,-1.24,30197,80655,44,23
1171069,0.6,0.76,30884,73037,39,36
69340,0.36,0.19,29908,72850,42,25
1136963,-0.47,-1.12,29042,77626,35,17
1937657,0.31,-0.18,29467,73203,42,23
1753225,-0.46,-1.12,31604,78376,40,23
557544,-0.31,1.9,31247,78527,37,24
1429549,-1.16,1.94,29177,81010,38,43
1821472,-1.01,-1.15,32799,83965,44,27
1250700,-0.66,-0.74,29590,77946,44,37
376940,-0.83,-1.55,30333,81705,43,15
491409,-0.76,-1.05,31533,82266,41,14
1912459,0.43,1.77,31160,73944,36,17
1403341,-0.75,-1.06,30187,80499,42,19
1706832,-1.01,-1.15,32799,83965,46,27
100951,0.83,-0.84,31205,74818,41,6
888391,-0.75,-1.06,30187,80498,43,19
1723967,0.74,0.49,34369,71241,41,16
539865,0.06,-0.59,31600,77524,46,33
1431963,0.08,0.19,29912,74841,40,20
295863,-0.33,-2.3,29576,76198,43,29
1309481,-0.95,0.23,29474,80895,44,24
1767836,0.2,2.09,30567,73499,35,41
515472,-0.74,1.11,29866,81526,36,11
1203802,0.34,-0.42,31877,73179,27,17
1427875,0.31,1.5,29467,73328,35,34
1971223,-0.63,-0.51,29168,78301,43,36
75849,0.64,-0.09,29864,73165,35,15
1759695,-0.48,-0.19,31247,78342,43,22
942816,-0.73,0.57,29139,82152,44,14
1778371,-0.83,0.28,34767,84354,49,24
669571,-0.47,1.19,29183,80291,43,18
43513,0.51,2.06,30062,72828,37,31
2016911,2.35,0.25,34879,61007,26,11
1216773,-0.47,-1.6,29259,81243,45,24
1519004,-0.08,0.19,29156,77018,39,15
1566170,-0.58,2.13,31342,77921,35,31
1712731,-0.75,0.34,34815,83962,41,23
1061215,-0.26,0.81,31253,78039,43,42
810392,-0.05,-0.28,31969,77336,46,19
1438698,0.41,-0.58,49861,80216,41,20
97456,-0.63,-0.96,32207,80416,42,23
1847046,-0.55,-0.56,31230,78518,38,21
1229384,1.21,0.39,30619,66280,35,13
997011,-1.03,-1.67,29379,81511,41,19
2079904,0.28,-0.99,51757,83827,27,5
63694,-0.59,-0.07,30022,80411,42,25
1047819,0.91,-0.49,31539,73476,42,22
1873443,-0.82,-0.37,31076,82304,43,16
810887,-0.7,-0.02,30113,81419,42,23
396049,-0.02,0.05,29789,74149,43,23
1920255,-0.47,-1.14,31429,81505,42,21
2010176,-0.42,0.77,29177,80882,45,23
711179,-0.31,1.96,31831,76731,36,41
1121586,0.92,0.23,29131,72953,37,12
4828,-0.93,0.87,32126,80204,36,37
125303,-0.86,-0.21,35655,83882,44,22
1650796,3.55,-1.15,35749,54857,15,9
1391811,4.37,0.49,30482,48559,22,8
389500,3.41,0.26,33926,54915,30,9
983693,0.04,0.66,30653,77344,36,35
969955,-0.78,-0.8,30798,80752,42,20
1230148,0.62,0.81,31977,73927,40,18
564792,-0.74,-1.45,31615,80090,37,13
1738768,0.51,-0.26,29747,72805,43,22
499275,4.02,0.11,31786,48357,30,9
875548,0.44,0.13,29375,73530,42,18
345707,-1.12,-0.8,32404,80944,43,25
270344,-0.55,-0.1,31077,78189,40,23
824998,0.3,-0.19,29467,73203,41,23
1524848,-0.24,-0.39,31014,76619,39,23
148043,-0.83,0.28,34767,84354,47,24
1520389,0.27,-0.83,31873,76983,43,15
1528551,-0.45,-0.87,30654,78061,43,39
1983777,0.51,2.07,30062,72827,36,31
675561,-1.44,-1.04,28838,81796,41,20
250943,-0.81,-0.9,29379,81191,47,30
735230,-0.38,1.08,31784,77007,39,21
1002597,-0.76,-1.08,31429,81485,42,14
2061796,-1.39,0.47,30238,81445,35,23
390983,0.08,0.2,29912,74842,40,20
1323723,-0.45,-0.38,31569,79894,36,41
575073,0.2,0.72,31978,77196,35,10
644885,2.59,-0.71,31540,62062,31,2
1696753,0.11,1.64,29187,74389,38,28
480776,-0.81,-0.05,32207,80339,44,28
464613,-0.48,-0.3,31091,80848,46,28
1154043,-0.75,0.35,34815,83962,42,23
1333640,-0.83,0.29,34767,84354,48,24
134576,0.78,-0.37,30580,72940,39,25
841015,-0.17,-0.83,31593,78192,45,32
778821,-0.45,-0.38,29564,78344,43,22
871111,0.07,-0.59,31600,77525,46,33
1631284,-0.76,0.34,34815,83962,41,23
857166,-1.06,-0.29,29138,82060,39,13
1086857,0.37,1.12,29058,74140,43,16
1168815,-0.23,0.13,31247,78524,43,27
1867239,-0.45,-0.38,29564,78344,43,22
1221753,0.74,-0.7,29467,73089,36,16
596587,0.46,0.02,31977,74259,46,25
1489451,0.87,-1.19,64770,83933,39,19
721255,0.61,1,29495,73015,40,11
1656259,0.52,0.04,52447,80249,43,16
40881,-0.63,-0.96,32207,80416,41,23
2079527,-0.29,1.08,30995,81955,34,12
506703,3.48,-0.06,32796,54732,22,7
186115,-0.52,1.15,30957,77323,31,19
422300,-0.85,1.42,28840,80710,46,22
294028,4.38,0.49,30482,48558,23,8
818164,-0.07,0.94,30904,74497,46,35
536972,-0.23,-0.29,29576,76320,44,21
1455657,-0.02,0.05,29789,74149,42,23
1197899,-0.02,-0.8,31247,78493,43,26
353069,0.09,1.69,29976,73882,28,38
10089,0.15,-0.54,29495,73200,41,22
710220,-0.24,-0.62,29487,76245,42,31
892885,0.1,1,31682,77197,35,23
926364,-0.97,-0.44,29667,78467,43,20
1007980,0.17,-0.62,31848,74202,38,17
443711,-0.9,1.51,30349,80447,34,20
870188,-0.28,-1.26,32053,77842,44,21
1739364,-0.86,-0.2,35655,83882,44,22
737782,-0.06,0.64,31176,76890,34,32
679297,-0.27,-0.1,31593,78219,32,25
1106999,-0.21,1.9,29043,76440,39,23
620990,0.27,-1,51757,83826,25,5
1491271,0.26,0.29,29319,73750,38,15
2009087,-0.46,-1.14,31429,81505,44,21
74613,-0.67,-1.1,29590,77780,40,36
1463578,-0.1,0.38,30422,76998,39,21
1490672,0.13,-0.31,31593,77955,41,22
1709971,-0.06,-2.04,28890,77354,40,14
1625046,-0.43,1.34,29722,76485,35,11
1993568,0.5,-1.32,29495,72810,41,26
1557125,-0.61,0.78,29351,77428,37,23
1419751,-0.83,0.27,34767,84354,47,24
1517929,-1.05,-0.96,31009,81996,41,21
342516,-0.53,-0.81,29576,76463,45,27
1405426,-0.28,-0.1,31593,78219,33,24
950113,-0.11,-0.7,28853,76567,38,10
993663,-0.49,-1.36,31537,78053,45,25
941906,0.74,-0.71,29467,73089,33,16
1763807,0.14,-0.62,29576,76388,38,28
521750,2.59,-0.71,31540,62062,31,2
1268786,-0.36,0.75,29210,78188,39,18
794083,-0.75,-2.08,29223,82464,40,10
1062421,0.17,-0.94,32379,74155,44,17
1356646,-0.11,-0.31,31504,74055,41,31
601331,0.04,0.67,30653,77344,37,35
464830,0.08,-0.69,31600,77616,38,34
1812811,-0.28,-0.93,29590,77874,39,39
846631,-0.22,-0.61,31051,80008,42,22
248937,0.38,-1.39,29506,73661,46,17
674952,-0.47,-0.1,29242,76743,31,20
340936,-1.43,-0.7,29713,81489,35,17
1743366,-1.01,-1.16,32799,83965,46,27
171536,-0.09,-0.83,32247,77627,43,28
879813,0.34,-0.08,31449,74473,37,32
1417243,-0.38,1.68,31593,78285,35,42
1451935,0.3,-2.56,30535,75127,42,19
302331,-0.8,-0.04,32207,80339,43,28
312564,0.01,2.16,31600,77721,33,26
109455,0.73,-1.35,31977,73987,46,15
801862,0.11,0.41,29264,73633,38,29
148882,0.59,-1.21,29495,73077,41,25
1278658,0.1,-1.81,31530,76558,40,19
1815116,-0.17,-0.54,31630,77515,40,16
356121,-1.23,-0.58,30091,81870,43,16
288050,1.2,0.39,30619,66279,35,13
399720,-0.01,-0.29,30993,76987,40,16
813863,-0.58,0.06,29818,80684,38,37
216278,0.43,-0.85,30904,74319,41,22
273748,0.5,0.96,31417,72973,40,29
1362210,-0.25,0.91,29775,77367,41,22
2082974,-0.14,-0.06,32023,77850,38,15
1763939,-0.16,-1.69,31684,74455,39,21
175741,-0.47,-1.11,29042,77626,36,17
591107,0.45,0.13,30628,72871,37,39
164193,4.14,-0.08,30342,48784,28,12
662174,-0.43,-1.61,30076,80620,40,14
1823310,-0.02,-0.79,31247,78493,42,26
1080859,-0.07,0.64,31272,77762,43,14
1710455,-0.06,-0.38,29587,76552,37,15
450819,-0.7,-1.93,32055,80690,44,45
1464019,-0.74,0.38,32348,81094,40,17
1953744,0.23,-1.64,29491,73578,44,20
945959,-0.18,0.56,29015,78091,43,20
476970,0.59,-1.21,29495,73077,40,25
1938066,-0.13,1.17,32174,80375,38,34
1349555,-0.74,0.45,29765,79925,41,20
1723510,0.09,-0.96,29344,72704,34,16
1039702,0.77,-0.08,30530,72890,44,19
273492,0.31,1.51,29467,73328,34,34
651835,-0.63,-0.51,29168,78301,42,36
2094648,-0.46,-0.93,29197,79422,46,29
1903939,-0.23,-0.48,32041,78642,41,12
750540,-0.42,-0.87,29664,76613,38,13
156751,-0.59,0.11,29819,79865,37,23
1366676,-0.81,0.17,32207,80529,38,29
1823547,0.64,-0.26,50936,80283,43,14
1388022,0.19,-1.84,29838,74547,37,38
589381,0.25,-0.33,53088,83619,35,21
1248154,0.08,1.47,31501,73723,35,31
149913,-0.98,0.32,29379,81210,35,28
1751670,0.1,1.7,29976,73882,29,38
1850479,4.23,-0.7,29357,48995,34,14
1425352,-0.53,-0.81,29576,76463,43,27
475447,4.1,-0.07,30303,47894,24,9
216900,-0.01,-2.26,30440,77207,38,19
1743546,0.61,-0.2,29307,72525,41,13
524677,-0.76,0.34,34815,83963,42,23
1885661,0.47,-1.19,31893,73938,41,25
1452686,-0.27,-0.44,32269,78151,31,13
412610,0.62,0.81,31977,73927,40,18
370786,-0.83,-0.03,29340,81166,46,18
315002,1.22,0.4,30619,66279,35,13
903264,0.24,-1.66,50674,84199,28,4
1643467,0.05,0.66,29467,74477,33,27
443367,0.2,-1.7,30115,72513,34,19
921389,0.13,0.23,29346,76246,47,21
1095836,-0.75,0.77,29277,78060,38,22
1465836,-0.38,-0.37,30087,77840,37,16
1094296,-0.61,0.42,29197,79610,46,33
1727327,0.53,-1.66,47391,79941,38,16
1210755,0.52,0.03,29734,73122,38,13
1830983,-0.14,-0.54,29576,76027,46,27
592583,3.55,-1.15,35749,54857,17,9
1755750,-0.18,-0.67,28895,77596,48,19
1685011,-0.7,-0.61,29131,81120,44,21
1416673,0.53,-1.66,47391,79941,37,16
525850,0.09,-1.93,28981,74585,47,22
1495961,-0.76,0.59,28875,80397,47,37
567841,-0.32,-2.3,29576,76198,45,29
1194287,-0.53,-0.81,29576,76463,44,27
239338,-0.54,-1.19,31429,81688,45,11
2035400,0.54,0.09,29396,73117,36,15
1156155,0.96,-0.62,29037,72756,40,14
877394,0.37,1.13,29058,74140,42,16
1051684,0.11,-0.16,29984,74754,38,17
1687983,-0.8,0.29,29197,80045,46,40
1319731,0.37,-0.51,29304,72858,38,21
1698283,-0.81,-0.95,29343,80577,45,23
1642758,-0.08,0.18,29156,77018,40,15
189481,0.2,0.6,31662,76269,44,22
127037,-1.09,1.25,30775,81729,37,40
431836,0.77,0.22,30884,72901,34,11
179988,-0.11,-0.02,31600,77112,46,24
308458,-0.32,-0.74,30814,80268,37,16
1272536,0.21,-0.54,28948,77728,46,17
615627,-0.46,-0.99,29044,76319,38,20
962522,-0.41,0.3,30855,77004,40,25
1642537,-0.33,1,30336,76442,35,42
1917755,0.35,-1.4,48920,80016,36,16
386611,-0.31,0.83,30035,76915,39,15
1083765,0.4,-0.86,31295,73506,38,14
1001032,0.26,-1.91,30930,73363,42,20
932874,0.45,0.97,28855,72999,34,28
1201079,-0.69,-0.68,29131,81120,44,21
759256,-0.9,-0.08,32207,80528,40,25
1152246,0.14,-0.61,29576,76388,40,28
551078,-0.43,0.82,31170,78587,37,18
286210,0.04,0.65,29467,74477,33,27
1871836,0.65,0.48,28854,72640,39,12
678642,-0.98,0.32,29379,81210,35,28
1078699,-1.02,1,31561,80454,33,34
128920,-0.31,1.27,29516,76948,32,30
581794,-0.47,0.21,29590,77866,39,44
956179,4.11,-0.06,30303,47893,25,9
257896,-0.31,0.47,31600,77363,45,32
1640316,0.27,-0.55,28909,73853,38,19
240120,-0.1,-0.78,31342,78093,41,13
104006,0.29,-0.06,29730,74015,43,21
824453,0.5,-1.32,29495,72810,43,26
1093721,-0.86,-0.2,35655,83882,44,22
1808716,0.34,-0.41,31877,73179,26,17
1435805,-0.85,-0.2,35655,83882,45,22
923529,-0.38,-1.48,32207,80351,43,22
1878167,-0.68,0.12,32238,81779,43,11
1106618,0.03,0.15,31574,73487,39,16
477168,0,0.42,30900,76189,40,41
1138286,-1.17,1.94,29177,81010,38,43
798869,0.06,-0.59,31600,77525,45,33
1059756,-0.73,-0.9,31794,81478,41,20
1651940,-0.11,-0.23,29576,76056,37,19
304586,-0.1,-0.26,30605,77051,40,16
134366,-0.99,0.31,29379,81210,34,28
1737013,-0.7,-1.94,32055,80690,45,45
885675,-0.93,1.19,30079,80411,42,21
737575,0.07,-0.59,31600,77524,44,33
523661,-0.83,0.74,30450,80196,43,20
484248,-0.47,1.98,29590,77920,37,43
536034,0.3,-0.05,29730,74015,44,21
1477256,0.02,-0.48,28878,73476,39,25
702236,-0.69,-2.43,31925,81033,42,14
105732,-0.38,-1.48,32207,80351,44,22
1999943,0.26,-0.56,28909,73853,36,19
879255,-1.15,-0.51,28855,81084,37,21
1280922,-0.67,-1.09,29590,77779,39,36
927280,-0.29,-1.49,29648,77090,44,32
1028556,-0.62,-0.47,32014,81752,38,20
36486,0.74,-0.71,29467,73089,34,16
1397942,-1.01,-1.15,32799,83964,45,27
931476,0.09,1.7,29976,73881,28,38
473425,-0.75,0.16,29084,82071,38,13
1529852,-1,0.23,30775,82017,39,30
2041384,0.08,-0.68,31600,77617,37,34
248036,-0.46,1.2,30747,78144,35,24
1294321,0.32,0.29,29716,72594,42,24
1058571,0.31,0,31375,74324,38,16
1749818,0.46,-1.2,31004,74178,44,14
969451,-0.08,-0.64,30912,78173,42,14
1367089,0.65,1.44,30884,72530,36,28
401428,-0.85,-0.2,35655,83881,43,22
535529,0.4,-1.51,32228,75119,32,15
